sponsorName,sponsorCode,startTime,endTime,domain,clientId,episodeId,episodeType,createdAt,airDate
Kalshi,,4975.0,4984.0,kalshi.com,20vc,4lFDEWFzHVk,youtube,2025-07-26T17:16:36.460878,20250724
CRBN Pickleball,402p,94.0,162.0,crbnpickleball.com,402p,cLapzQiF0LM,youtube,2025-07-26T17:17:09.036052,20250719
Progressive,,0.0,28.0,progressive.com,402p,hpas_GMyUQ0,youtube,2025-07-26T17:17:12.324929,20250719
Dropbox Dash,,728.0,751.0,dropbox.com/dash,402p,hpas_GMyUQ0,youtube,2025-07-26T17:17:12.324952,20250719
Yobo,,1328.0,1438.0,402p.com,402p,f6zt6XaXvy4,youtube,2025-07-26T17:17:16.461851,20250701
CRBN Pickleball,402P,148.0,248.0,crbnpickleball.com,402p,7Q_IrirocLc,youtube,2025-07-26T17:17:21.440247,20250708
Yobo,,1242.0,1269.0,402p.com,402p,rwHB4JYPl0c,youtube,2025-07-26T17:17:25.569393,20250624
Get Your Guide,,5.0,68.0,getyourguide.com,99invisible,jvS-9Sk-xXo,youtube,2025-07-26T17:17:41.988477,20250711
GetYourGuide,,1803.0,1810.0,https://getyourguide.com,99invisible,jvS-9Sk-xXo,youtube,2025-07-26T17:17:41.988501,20250711
Audacious Machine Creative,,66.0,87.0,audaciousmachinecreative.com,SPNthenandnow,B96ikgZqYDo,youtube,2025-07-26T17:17:49.939154,20250714
Happy Mammoth,happyme,123.0,175.0,happymammoth.com,SPNthenandnow,B96ikgZqYDo,youtube,2025-07-26T17:17:49.939181,20250714
Happy Mammoth,happyme,15.0,89.0,happymammoth.com,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507237,20250721
Mint Mobile,,1492.0,1614.0,mintmobile.com/supernatural,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507251,20250721
Quint,,1616.0,1746.0,quint.com/stn,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507253,20250721
Progressive Insurance,,3062.0,3091.0,progressive.com,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507254,20250721
Shopify,rem,3117.0,3165.0,shopify.com/rem,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507256,20250721
Happy Sad Confused,,3833.0,3887.0,happysadconfused.com,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507257,20250721
Grim Grimmer Grimmst,,3890.0,3943.0,grimgrimmergrimmst.com,SPNthenandnow,OK7PCjN2uk0,youtube,2025-07-26T17:17:59.507259,20250721
Happy Mammoth,happyme,15.0,89.0,happymammoth.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891949,20250707
Quint,stn,1646.0,1774.0,quint.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891958,20250707
Progressive Insurance,,1774.0,1802.0,progressive.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891960,20250707
Shopify,rem,3730.0,3803.0,shopify.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891961,20250707
Hilton,,3814.0,3835.0,hilton.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891962,20250707
Anomaly,stand,4550.0,4606.0,seekanomaly.com,SPNthenandnow,nuIsBQ481Ow,youtube,2025-07-26T17:18:10.891963,20250707
Audacious Machine Creative,,64.0,86.0,audaciousmachinecreative.com,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276631,20250630
USAA,,91.0,99.0,usaa.com,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276671,20250630
Shopify,rem,1495.0,1583.0,shopify.com/rem,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276677,20250630
Almond Joy,,3044.0,3072.0,almondjoy.com,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276680,20250630
LinkedIn,,3074.0,3102.0,linkedin.com,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276682,20250630
Realms of Peril and Glory,,3688.0,3734.0,realmsspod.com,SPNthenandnow,lowVfUieKSQ,youtube,2025-07-26T17:18:19.276684,20250630
Audacious Machine Creative,,66.0,87.0,audaciousmachinecreative.com,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330780,20250623
Temptations Cat Treats,,89.0,111.0,temptations.com,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330802,20250623
Quint,,1514.0,1652.0,quince.com,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330806,20250623
Progressive,,1652.0,1681.0,progressive.com,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330808,20250623
Shopify,rem,2592.0,2687.0,shopify.com/rem,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330811,20250623
Thrive Cosmetics,,2693.0,2796.0,thrivecosmetics.com/thrive,SPNthenandnow,YwfDOr2v8QA,youtube,2025-07-26T17:18:33.330814,20250623
Pendleton Whiskey,,942.0,948.0,pendletonwhisky.com,Travel-in-10,a5_71zs__vw,youtube,2025-07-26T17:18:41.876062,20250701
Pendleton Roundup,,1541.0,1549.0,pendletonroundup.com,Travel-in-10,a5_71zs__vw,youtube,2025-07-26T17:18:41.876085,20250701
Travel Oregon,,1553.0,1563.0,traveloregon.com,Travel-in-10,a5_71zs__vw,youtube,2025-07-26T17:18:41.876088,20250701
Armchair Productions,,1590.0,1599.0,armchair-productions.com,Travel-in-10,a5_71zs__vw,youtube,2025-07-26T17:18:41.876091,20250701
Voyescape,,1262.0,1268.0,voyascape.com,Travel-in-10,z2nggj9TWRU,youtube,2025-07-26T17:18:48.083910,20250626
Voyescape,,28.0,50.0,voyescape.com,Travel-in-10,In6FU3Fd5gA,youtube,2025-07-26T17:18:54.051058,20250521
,,0.0,0.0,nosponsors,20vc,ziqsNe1sLHw,youtube,2025-07-26T17:35:43.034364,20250721
,,0.0,0.0,nosponsors,20vc,Xz060_Kn0F0,youtube,2025-07-26T17:35:49.076418,20250718
Replit,,2580.0,2629.0,replit.com,20vc,wSudjTgRm7o,youtube,2025-07-26T17:35:58.364617,20250717
