total_episodes,episodes_with_ads,percentage_episodes_with_ads,total_sponsor_ads,total_ad_time,average_sponsor_length,average_ad_percentage_per_episode,avg_episode_ad_count,sponsor_time_map,sponsor_frequency_map,average_brand_repeat_rate,sorted_brands_by_frequency,sorted_brands_by_ad_time,clientId
5,2,40.0,3,343.0,114.33333333333333,1.3775789399901592,0.6,"{'kalshi.com': 9.0, 'replit.com': 49.0, 'lovable.com': 285.0}","{'kalshi.com': 1, 'replit.com': 1, 'lovable.com': 1}",1.0,"['kalshi.com', 'replit.com', 'lovable.com']","['lovable.com', 'replit.com', 'kalshi.com']",20vc
5,5,100.0,6,356.0,59.333333333333336,4.53972985804837,1.2,"{'crbnpickleball.com': 168.0, 'progressive.com': 28.0, 'dropbox.com/dash': 23.0, '402p.com': 137.0}","{'crbnpickleball.com': 2, 'progressive.com': 1, 'dropbox.com/dash': 1, '402p.com': 2}",1.5,"['crbnpickleball.com', '402p.com', 'progressive.com', 'dropbox.com/dash']","['crbnpickleball.com', '402p.com', 'progressive.com', 'dropbox.com/dash']",402p
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],4thingswithamybrown
5,1,20.0,2,70.0,35.0,0.7700770077007701,0.4,"{'getyourguide.com': 63.0, 'https://getyourguide.com': 7.0}","{'getyourguide.com': 1, 'https://getyourguide.com': 1}",1.0,"['getyourguide.com', 'https://getyourguide.com']","['getyourguide.com', 'https://getyourguide.com']",99invisible
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],Crimeatorium
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],Datingintelligence
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],MidnightBurger
5,5,100.0,27,1591.0,58.925925925925924,8.323602967801953,5.4,"{'audaciousmachinecreative.com': 64.0, 'happymammoth.com': 200.0, 'mintmobile.com/supernatural': 122.0, 'quint.com/stn': 130.0, 'progressive.com': 86.0, 'shopify.com/rem': 231.0, 'happysadconfused.com': 54.0, 'grimgrimmergrimmst.com': 53.0, 'quint.com': 128.0, 'shopify.com': 73.0, 'hilton.com': 21.0, 'seekanomaly.com': 56.0, 'usaa.com': 8.0, 'almondjoy.com': 28.0, 'linkedin.com': 28.0, 'realmsspod.com': 46.0, 'temptations.com': 22.0, 'quince.com': 138.0, 'thrivecosmetics.com/thrive': 103.0}","{'audaciousmachinecreative.com': 3, 'happymammoth.com': 3, 'mintmobile.com/supernatural': 1, 'quint.com/stn': 1, 'progressive.com': 3, 'shopify.com/rem': 3, 'happysadconfused.com': 1, 'grimgrimmergrimmst.com': 1, 'quint.com': 1, 'shopify.com': 1, 'hilton.com': 1, 'seekanomaly.com': 1, 'usaa.com': 1, 'almondjoy.com': 1, 'linkedin.com': 1, 'realmsspod.com': 1, 'temptations.com': 1, 'quince.com': 1, 'thrivecosmetics.com/thrive': 1}",1.4210526315789473,"['audaciousmachinecreative.com', 'happymammoth.com', 'progressive.com', 'shopify.com/rem', 'mintmobile.com/supernatural', 'quint.com/stn', 'happysadconfused.com', 'grimgrimmergrimmst.com', 'quint.com', 'shopify.com', 'hilton.com', 'seekanomaly.com', 'usaa.com', 'almondjoy.com', 'linkedin.com', 'realmsspod.com', 'temptations.com', 'quince.com', 'thrivecosmetics.com/thrive']","['shopify.com/rem', 'happymammoth.com', 'quince.com', 'quint.com/stn', 'quint.com', 'mintmobile.com/supernatural', 'thrivecosmetics.com/thrive', 'progressive.com', 'shopify.com', 'audaciousmachinecreative.com', 'seekanomaly.com', 'happysadconfused.com', 'grimgrimmergrimmst.com', 'realmsspod.com', 'almondjoy.com', 'linkedin.com', 'temptations.com', 'hilton.com', 'usaa.com']",SPNthenandnow
5,3,60.0,6,61.0,10.166666666666666,0.7063816563858278,1.2,"{'pendletonwhisky.com': 6.0, 'pendletonroundup.com': 8.0, 'traveloregon.com': 10.0, 'armchair-productions.com': 9.0, 'voyascape.com': 6.0, 'voyescape.com': 22.0}","{'pendletonwhisky.com': 1, 'pendletonroundup.com': 1, 'traveloregon.com': 1, 'armchair-productions.com': 1, 'voyascape.com': 1, 'voyescape.com': 1}",1.0,"['pendletonwhisky.com', 'pendletonroundup.com', 'traveloregon.com', 'armchair-productions.com', 'voyascape.com', 'voyescape.com']","['voyescape.com', 'traveloregon.com', 'armchair-productions.com', 'pendletonroundup.com', 'pendletonwhisky.com', 'voyascape.com']",Travel-in-10
0,0,0.0,0,0.0,0.0,0.0,0.0,{},{},0.0,[],[],adatewithdateline
5,3,60.0,4,154.0,38.5,1.9021083507389414,0.8,"{'leadfi.ai': 18.0, 'scribehow.com': 38.0, 'rjmtaxexemption.com': 11.0, 'fonetti.com': 87.0}","{'leadfi.ai': 1, 'scribehow.com': 1, 'rjmtaxexemption.com': 1, 'fonetti.com': 1}",1.0,"['leadfi.ai', 'scribehow.com', 'rjmtaxexemption.com', 'fonetti.com']","['fonetti.com', 'scribehow.com', 'leadfi.ai', 'rjmtaxexemption.com']",afterhoursentrepreneur
