clientId,min_impressions,max_impressions,youtube_subscribers,instagram_followers,episode_avg_views,estimated_ad_price
20vc,7185,11975,160000,11470,14536.0,"{'30s': '14,20', '60s': '18,25'}"
402p,5085,8475,1060,3454,179.2,"{'30s': '10,15', '60s': '14,20'}"
4thingswithamybrown,78480,130800,0,623564,0.0,"{'30s': '24,30', '60s': '30,38'}"
99invisible,380490,634150,11400,87855,1919.6,"{'30s': '20,26', '60s': '26,33'}"
Crimeatorium,0,0,21900,0,0.0,"{'30s': '11,16', '60s': '15,21'}"
Datingintelligence,450,750,0,0,0.0,"{'30s': '10,15', '60s': '14,20'}"
MidnightBurger,30315,50525,0,7513,0.0,"{'30s': '15,20', '60s': '20,26'}"
SPNthenandnow,29865,49775,4130,0,540.2,"{'30s': '15,20', '60s': '20,26'}"
Travel-in-10,180,300,116,0,10.6,"{'30s': '11,16', '60s': '15,21'}"
adatewithdateline,79725,132875,2920,0,0.0,"{'30s': '21,27', '60s': '27,34'}"
afterhoursentrepreneur,2475,4125,11200,0,58.6,"{'30s': '14,20', '60s': '18,25'}"
alignpodcast,12930,21550,78000,0,32201.8,"{'30s': '18,24', '60s': '24,30'}"
allin,125655,209425,876000,0,71159.8,"{'30s': '26,32', '60s': '32,40'}"
almostadulting,58395,97325,59700,440000,266.4,"{'30s': '15,20', '60s': '20,26'}"
almostfamous,210135,350225,0,2305,0.0,"{'30s': '20,26', '60s': '26,33'}"
andthatswhywedrink,348225,580375,75900,203000,9038.0,"{'30s': '21,27', '60s': '27,34'}"
anotherkingdom,7545,12575,3310000,0,0.0,"{'30s': '15,20', '60s': '20,26'}"
anxietycoachespod,25980,43300,3590,1565,155.0,"{'30s': '18,24', '60s': '24,30'}"
arenafootballleague,120,200,3550,0,0.0,"{'30s': '10,15', '60s': '14,20'}"
armchairexpert,1008870,1681450,15200,854000,86241.0,"{'30s': '20,26', '60s': '26,33'}"
arrowheadpride,16635,27725,21700,96000,550.0,"{'30s': '15,20', '60s': '20,26'}"
asianbossgirl,22605,37675,43900,140000,19375.6,"{'30s': '15,20', '60s': '20,26'}"
askacyclingcoach,53565,89275,105000,64000,6451.6,"{'30s': '18,24', '60s': '24,30'}"
athleticomince,3840,6400,18000,34000,11074.6,"{'30s': '9,14', '60s': '12,18'}"
badfriends,195660,326100,2090000,1000000,792923.4,"{'30s': '19,25', '60s': '25,32'}"
badtv,28050,46750,1750,0,689.2,"{'30s': '14,19', '60s': '19,25'}"
beargrease,107145,178575,0,253827,0.0,"{'30s': '20,26', '60s': '26,33'}"
beermethatmovie,90,150,216,221,70.4,"{'30s': '9,14', '60s': '12,18'}"
behindthevelvetrope,43620,72700,34900,63000,0.0,"{'30s': '16,21', '60s': '21,27'}"
betterthanhappy,83460,139100,642,95000,39.4,"{'30s': '24,30', '60s': '30,38'}"
bewellby,20580,34300,7730,555000,416.0,"{'30s': '18,24', '60s': '24,30'}"
